Personaje 1,Personaje 2,Interacciones
Sora,Wakka,2
Sora,Tidus,2
Sora,Selphie,2
Wakka,Tidus,1
Wakka,Selphie,1
Tidus,Selphie,1
Sora,Kairi,18
Sora,Riku,23
Kairi,Riku,10
Donald,Goofy,112
Donald,Minnie,3
Donald,Daisy,3
Goofy,Minnie,3
Goofy,Daisy,3
Minnie,Daisy,3
Sora,Ansem (Xehanort),5
Donald,Pepito,5
Goofy,Pepito,5
Minnie,Pepito,2
Daisy,Pepito,2
Goofy,Chip,1
Goofy,Chop,1
Goofy,Pluto,3
Donald,Chip,1
Donald,Chop,1
Donald,Pluto,3
Pepito,Chip,1
Pepito,Chop,1
Pepito,Pluto,1
Chip,Chop,1
Chip,Pluto,1
Chip,Minnie,1
Chip,Daisy,1
Chop,Pluto,1
Chop,Minnie,1
Chop,Daisy,1
Pluto,Minnie,1
Pluto,Daisy,1
Pluto,Sora,2
Sora,Squall,7
Sora,Yuffie,6
Squall,Yuffie,6
Donald,Aerith,5
Goofy,Aerith,5
Sora,Aerith,3
Sora,Goofy,102
Sora,Donald,102
Squall,Aerith,3
Squall,Goofy,4
Squall,Donald,4
Yuffie,Aerith,3
Yuffie,Goofy,4
Yuffie,Donald,4
Hades,Yafar,1
Hades,Ursula,1
Hades,Capitan Garfio,2
Hades,Oogie Boogie,1
Hades,Malefica,3
Yafar,Ursula,1
Yafar,Capitan Garfio,1
Yafar,Oogie Boogie,2
Yafar,Malefica,4
Ursula,Capitan Garfio,1
Ursula,Oogie Boogie,1
Ursula,Malefica,1
Capitan Garfio,Oogie Boogie,1
Capitan Garfio,Malefica,2
Oogie Boogie,Malefica,2
Sora,Conejo Blanco,2
Goofy,Conejo Blanco,2
Donald,Conejo Blanco,2
Sora,Sr. Picaporte,1
Goofy,Sr. Picaporte,1
Donald,Sr. Picaporte,1
Alicia,Conejo Blanco,1
Alicia,Sora,2
Alicia,Goofy,2
Alicia,Donald,2
Alicia,Reina de Corazones,1
Conejo Blanco,Reina de Corazones,1
Sora,Reina de Corazones,1
Goofy,Reina de Corazones,1
Donald,Reina de Corazones,1
Gato de Chesire,Sora,1
Gato de Chesire,Goofy,1
Gato de Chesire,Donald,1
Sora,Sr.Picaporte,1
Goofy,Sr.Picaporte,1
Donald,Sr.Picaporte,1
Sora,Filoctetes,5
Goofy,Filoctetes,5
Donald,Filoctetes,5
Sora,Hades,3
Goofy,Hades,3
Donald,Hades,3
Sora,Cloud,4
Goofy,Cloud,4
Donald,Cloud,4
Hades,Cloud,2
Sora,Cerbero,1
Sora,Hercules,3
Goofy,Cerbero,1
Goofy,Hercules,3
Donald,Cerbero,1
Donald,Hercules,3
Hades,Cerbero,2
Hades,Filoctetes,1
Hades,Hercules,1
Cloud,Cerbero,1
Cloud,Filoctetes,2
Cloud,Hercules,2
Cerbero,Filoctetes,1
Cerbero,Hercules,1
Filoctetes,Hercules,3
Sora,Sabor,3
Sora,Tarzan,12
Sabor,Tarzan,2
