Source,Target,Type,Weight
12,17,Undirected,37
12,11,Undirected,37
12,9,Undirected,1
17,11,Undirected,37
17,9,Undirected,1
11,9,Undirected,1
12,6,Undirected,7
12,4,Undirected,17
17,4,Undirected,16
11,4,Undirected,16
17,6,Undirected,5
11,6,Undirected,5
12,7,Undirected,5
17,7,Undirected,4
11,7,Undirected,4
6,7,Undirected,5
4,7,Undirected,1
1,5,Undirected,6
1,3,Undirected,9
10,13,Undirected,2
10,14,Undirected,3
13,14,Undirected,1
2,7,Undirected,6
10,13,Undirected,1
14,13,Undirected,1
1,14,Undirected,1
10,13,Undirected,2
1,15,Undirected,3
15,10,Undirected,2
15,14,Undirected,2
15,13,Undirected,1
14,13,Undirected,1
12,2,Undirected,4
17,2,Undirected,4
11,2,Undirected,4
4,2,Undirected,2
2,14,Undirected,2
2,15,Undirected,4
2,8,Undirected,6
7,14,Undirected,3
7,15,Undirected,2
7,8,Undirected,6
14,8,Undirected,2
15,8,Undirected,9
12,15,Undirected,10
14,6,Undirected,1
2,6,Undirected,3
6,8,Undirected,6
12,14,Undirected,3
17,14,Undirected,3
11,14,Undirected,3
12,8,Undirected,13
8,11,Undirected,8
8,17,Undirected,8
15,11,Undirected,6
15,17,Undirected,6
4,8,Undirected,3
4,15,Undirected,2
1,13,Undirected,1
16,13,Undirected,1
1,16,Undirected,4
3,16,Undirected,2
10,7,Undirected,2
6,15,Undirected,3
1,10,Undirected,4
1,8,Undirected,1
1,12,Undirected,1
3,5,Undirected,2
