Personaje 1,Personaje 2,Interacciones
Xehanort,Ventus,8
Ventus,Aqua,24
Ventus,Terra,15
Terra,Aqua,17
Mickey,Yen Sid,3
Ventus,Eraqus,5
Terra,Eraqus,6
Aqua,Eraqus,4
Xehanort,Eraqus,4
Terra,Xehanort,17
Aqua,Xehanort,6
Xehanort,Vanitas,6
Ventus,Vanitas,14
Terra,Malefica,2
Reina Grimhilde,Espejo Magico,2
Terra,Reina Grimhilde,2
Terra,Espejo Magico,2
Terra,Blancanieves,1
Ventus,Doc,3
Ventus,Gruñon,3
Ventus,Estornudon,3
Ventus,Dormilon,3
Ventus,Timido,3
Ventus,Tontin,3
Ventus,Feliz,3
Ventus,Blancanieves,3
Doc,Gruñon,7
Doc,Estornudon,7
Doc,Dormilon,7
Doc,Timido,7
Doc,Tontin,7
Doc,Feliz,7
Gruñon,Estornudon,7
Gruñon,Dormilon,7
Gruñon,Timido,7
Gruñon,Tontin,7
Gruñon,Feliz,7
Estornudon,Dormilon,7
Estornudon,Timido,7
Estornudon,Tontin,7
Estornudon,Feliz,7
Dormilon,Timido,7
Dormilon,Tontin,7
Dormilon,Feliz,7
Timido,Tontin,7
Timido,Feliz,7
Tontin,Feliz,7
Blancanieves,Doc,5
Blancanieves,Gruñon,5
Blancanieves,Estornudon,5
Blancanieves,Dormilon,5
Blancanieves,Timido,5
Blancanieves,Tontin,5
Blancanieves,Feliz,5
Reina Grimhilde,Ventus,1
Terra,La Bella Durmiente,1
Cenicienta,Jaq,4
Cenicienta,Ventus,3
Ventus,Jaq,5
Ventus,Lucifer,1
Jaq,Lucifer,1
Terra,Cenicienta,5
Terra,Hada Madrina,2
Cenicienta,Hada Madrina,2
Prince Charming,Cenicienta,3
Prince Charming,Terra,2
Prince Charming,El gran duque,4
Prince Charming,Anastasia,2
Prince Charming,Griselda,2
Prince Charming,Lady Tremaine,2
Cenicienta,El gran duque,5
Cenicienta,Anastasia,3
Cenicienta,Griselda,3
Cenicienta,Lady Tremaine,3
El gran duque,Anastasia,3
El gran duque,Terra,3
El gran duque,Griselda,3
El gran duque,Lady Tremaine,3
Terra,Anastasia,1
Terra,Griselda,1
Terra,Lady Tremaine,1
Anastasia,Griselda,4
Anastasia,Lady Tremaine,4
Griselda,Lady Tremaine,4
Cenicienta,Aqua,5
Aqua,El gran duque,6
Aqua,Prince Charming,2
Aqua,Griselda,3
Aqua,Anastasia,3
Aqua,Lady Tremaine,3
Aqua,Hada Madrina,2
Aqua,Jaq,1
Hada Madrina,El gran duque,1
Hada Madrina,Prince Charming,1
Xehanort,Braig,5
Terra,Mickey,1
Terra,Yen Sid,1
Reina Grimhilde,Blancanieves,1
Aqua,Doc,3
Aqua,Dormilon,3
Aqua,Gruñon,3
Aqua,Estornudon,3
Aqua,Timido,3
Aqua,Tontin,3
Aqua,Feliz,3
Aqua,Blancanieves,3
Aqua,Florian,3
Aqua,Espejo Magico,1
Florian,Blancanieves,2
Florian,Doc,2
Florian,Gruñon,2
Florian,Estornudon,2
Florian,Dormilon,2
Florian,Timido,2
Florian,Tontin,2
Florian,Feliz,2
