Id,Label
1,Filoctetes
2,Roxas
3,Chop
4,Pete
5,Jumba
6,Minnie
7,Goofy
8,Dormilon
9,Fauna
10,Prince Charming
11,Aqua
12,Campanila
13,Estornudon
14,Isa
15,Pluto
16,Aeleus
17,Even
18,Tio Gilito
19,Hada Madrina
20,Axel
21,Primavera
22,Smee
23,Eraqus
24,Zorrilo
25,Lucifer
26,Ienzo
27,Chip
28,Abuela de Kairi
29,Horace
30,El gran duque
31,Blancanieves
32,Riku
33,Tic Tac
34,Flora
35,Florian
36,Stitch
37,Capitan Garfio
38,Ventus
39,Osezno
40,Terra
41,Dilan
42,Griselda
43,Campanilla
44,Tontin
45,Donald
46,Reina Grimhilde
47,Peter Pan
48,Feliz
49,Cenicienta
50,Merlin
51,Xehanort
52,Espejo Magico
53,Hades
54,Zack
55,La Bella Durmiente
56,Zorrillo
57,Juanito
58,Doc
59,Vanitas
60,Timido
61,Malefica
62,Xion
63,Jaq
64,Anastasia
65,Principe Felipe
66,Jaimito
67,Daisy
68,Yen Sid
69,Gruñon
70,Hercules
71,Gran Concejal
72,Kairi
73,Lea
74,Jorgito
75,Braig
76,Mickey
77,Gantu
78,Sora
79,Ansem
80,Lady Tremaine
